Track Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Cry Baby,0.474,0.418,0,-9.654,1,0.0299,0.514,0.000343,0.0535,0.504,83.308,Classic Rock
Thunderstruck,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,Classic Rock
Hey Hey Rise Up (feat. Andriy Khlyvnyuk of Boombox),0.517,0.463,1,-9.664,0,0.0354,0.0116,9.65E-05,0.0742,0.49,114.891,Classic Rock
Killing In The Name,0.466,0.833,7,-4.215,1,0.304,0.0266,0,0.0327,0.661,88.785,Classic Rock
Don't Stop Believin',0.491,0.802,4,-7.106,1,0.0392,0.25,0,0.387,0.472,119.25,Classic Rock
Running Up That Hill (A Deal With God),0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,Classic Rock
Showdown,0.717,0.583,0,-8.936,0,0.0329,0.595,0.000143,0.139,0.962,113.261,Classic Rock
Ghosts,0.532,0.736,11,-6.901,1,0.0383,0.000146,0.000961,0.292,0.656,125.105,Classic Rock
Over the Mountain,0.493,0.866,0,-5.665,1,0.0976,0.00178,2.23E-05,0.0775,0.489,131.06,Classic Rock
Time for Me to Fly,0.463,0.629,2,-7.075,1,0.0269,0.0524,0,0.176,0.459,81.797,Classic Rock
Times Like These,0.36,0.905,4,-3.808,0,0.0812,1.37E-05,7.51E-06,0.0753,0.309,144.544,Classic Rock
Rich Girl,0.573,0.683,5,-6.644,1,0.176,0.461,0,0.0935,0.817,169.519,Classic Rock
Ordinary Man (feat. Elton John),0.428,0.599,4,-2.135,1,0.0286,0.0665,9.86E-06,0.137,0.134,125.83,Classic Rock
"Yes, I Have Ghosts",0.566,0.252,1,-15.084,1,0.0328,0.865,3.22E-05,0.109,0.257,126.109,Classic Rock
All Along the Watchtower,0.429,0.812,8,-6.252,1,0.0657,0.00282,2.44E-05,0.0882,0.625,113.279,Classic Rock
Dream On,0.412,0.528,1,-6.613,1,0.0259,0.298,5.03E-05,0.332,0.175,79.962,Classic Rock
Learn to Fly,0.465,0.919,4,-4.025,1,0.0408,1.83E-05,2.07E-05,0.262,0.537,135.997,Classic Rock
Carry On Wayward Son - Single Version,0.406,0.683,0,-6.593,1,0.0327,0.00199,1.29E-05,0.383,0.821,126.737,Classic Rock
You've Got Another Thing Coming,0.519,0.833,6,-6.947,0,0.0496,0.00572,4.33E-06,0.104,0.532,138.225,Classic Rock
All Out of Love,0.513,0.262,0,-16.875,1,0.0276,0.313,5.51E-06,0.456,0.357,108.383,Classic Rock
Hold the Line,0.478,0.876,6,-5.669,0,0.0568,0.00812,0.064,0.167,0.78,145.225,Classic Rock
It's Still Rock and Roll to Me,0.752,0.684,0,-7.599,1,0.15,0.0994,0,0.0897,0.539,141.075,Classic Rock
Africa,0.682,0.584,9,-9.507,1,0.031,0.182,0.000107,0.0468,0.709,92.793,Classic Rock
Present Tense,0.403,0.272,2,-13.492,1,0.0325,0.403,0.17,0.0806,0.105,130.872,Classic Rock
Enter Sandman,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,Classic Rock
Don't Bring Me Down,0.638,0.867,2,-6.469,1,0.0331,0.144,0.000733,0.0846,0.805,115.692,Classic Rock
American Girl,0.557,0.733,2,-8.106,1,0.0325,0.457,9.04E-05,0.347,0.824,114.382,Classic Rock
Bulls On Parade,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,Classic Rock
You Shook Me All Night Long,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,Classic Rock
More Than a Feeling,0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,Classic Rock
(Don't Fear) The Reaper,0.368,0.928,9,-8.369,0,0.0593,0.00125,0.00111,0.301,0.532,141.175,Classic Rock
Ball and Biscuit,0.52,0.662,9,-7.161,1,0.184,0.0674,0.0955,0.113,0.588,77.739,Classic Rock
Free Ride,0.688,0.739,9,-9.526,1,0.0744,0.321,0.011,0.174,0.77,124.065,Classic Rock
Surrender,0.524,0.953,0,-7.097,1,0.0416,0.00757,5.02E-06,0.771,0.869,133.828,Classic Rock
Rebel Rebel - Remastered,0.626,0.889,6,-9.456,0,0.053,0.0178,0,0.191,0.499,126.074,Classic Rock
Cover Me,0.517,0.776,9,-11.476,0,0.052,0.0198,0.00066,0.0851,0.82,120.571,Classic Rock
In Bloom,0.436,0.876,10,-4.902,0,0.0647,3.33E-05,0.000104,0.205,0.512,157.044,Classic Rock
Working for the Weekend,0.526,0.924,7,-5.591,1,0.0391,0.027,0.000728,0.598,0.793,147.28,Classic Rock
What I Like About You,0.542,0.915,9,-9.637,1,0.0549,0.319,5.34E-05,0.171,0.92,159.81,Classic Rock
Two Tickets To Paradise,0.61,0.838,2,-8.616,1,0.0301,0.102,6.14E-05,0.111,0.693,129.583,Classic Rock
Evil Ways,0.704,0.528,5,-13.382,1,0.0358,0.22,0.35,0.14,0.73,117.472,Classic Rock
Pride and Joy,0.426,0.693,8,-9.759,1,0.0377,0.0251,0.0065,0.101,0.751,126.804,Classic Rock
